date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-04-08,81.32,82.0493,81.102,81.6888,10251416,10251416,0.561634,0.692,81.7332,"Apr 8, 14",0.03392550665498866
2014-04-09,81.9403,81.9738,81.0006,81.5882,10464949,10464949,-0.100588,-0.123,81.4261,"Apr 9, 14",0.03265222432045208
2014-04-10,81.2948,81.9654,80.6703,81.1272,13449913,13449913,-0.461046,-0.565,81.346,"Apr 10, 14",0.026817401693997187
2014-04-11,80.9008,81.6803,80.708,81.0769,13353028,13353028,-0.050295,-0.062,81.0987,"Apr 11, 14",0.026180760526728807
2014-04-14,81.7223,82.196,81.0936,82.0325,9610713,9610713,0.955618,1.179,81.782,"Apr 14, 14",0.038275677016621074
2014-04-15,81.7978,82.7366,81.3703,82.7199,12961766,12961766,0.687378,0.838,82.1818,"Apr 15, 14",0.0469760177398859
2014-04-16,83.03,83.9102,82.963,83.7761,12508091,12508091,1.0562,1.277,83.5432,"Apr 16, 14",0.06034421656431475
2014-04-17,83.5665,84.6395,83.5665,84.1784,15439810,15439810,0.402368,0.48,84.2044,"Apr 17, 14",0.06543608021425573
2014-04-21,83.8515,84.606,83.7342,84.606,8003529,8003529,0.427512,0.508,84.4099,"Apr 21, 14",0.07084816298013882
2014-04-22,84.2707,84.5473,84.0108,84.1365,8212620,8212620,-0.469424,-0.555,84.3018,"Apr 22, 14",0.06490575685623305
2014-04-23,84.321,84.6227,84.103,84.2455,8691639,8691639,0.108973,0.13,84.3242,"Apr 23, 14",0.06628535700001535
2014-04-24,84.2287,84.3293,83.709,83.8348,9057792,9057792,-0.41075,-0.488,83.9354,"Apr 24, 14",0.06108717554082866
2014-04-25,83.818,84.3042,83.7677,84.1701,10396471,10396471,0.335306,0.4,84.0989,"Apr 25, 14",0.06533102809321555
2014-04-28,84.4299,85.0519,84.0862,84.8071,12710821,12710821,0.63708,0.757,84.5707,"Apr 28, 14",0.07339346196100682
2014-04-29,85.1424,85.9807,84.8575,85.0419,10094588,10094588,0.234712,0.277,85.3881,"Apr 29, 14",0.07636529786706228
2014-04-30,84.7736,85.8466,84.4215,85.8466,13972286,13972286,0.804735,0.946,85.2456,"Apr 30, 14",0.08655029085514959
2014-05-01,85.4694,85.8298,84.8323,85.0083,11161697,11161697,-0.838263,-0.976,85.2268,"May 1, 14",0.07594002663007998
2014-05-02,84.8994,86.2657,84.6479,85.5113,11169957,11169957,0.50296,0.592,85.6902,"May 2, 14",0.0823064383027629
2014-05-05,85.243,86.4501,85.1508,86.2657,7614576,7614576,0.754435,0.882,86.1129,"May 5, 14",0.09185479012358182
2014-05-06,86.0059,86.5926,85.8466,86.0645,9669834,9669834,-0.201183,-0.233,88.5135,"May 6, 14",0.08930822545450864
2014-05-07,86.4418,86.7184,86.1651,86.4334,11007353,11007353,0.368835,0.429,86.5075,"May 7, 14",0.09397734924387802
2014-05-08,86.4166,86.5843,85.6455,85.7711,8924353,8924353,-0.662229,-0.766,86.0063,"May 8, 14",0.08559469626014461
2014-05-09,85.8387,86.2354,85.4589,86.0413,8948779,8948779,0.270108,0.315,85.8791,"May 9, 14",0.08901458579087809
2014-05-12,86.362,86.3788,85.6826,86.2776,8830502,8830502,0.236307,0.275,86.1193,"May 12, 14",0.09200540702001322
2014-05-13,86.2354,86.6827,86.0328,86.3873,7529135,7529135,0.109713,0.127,86.5586,"May 13, 14",0.0933938669812324
2014-05-14,86.3873,86.6573,86.1763,86.3282,6999163,6999163,-0.059078,-0.068,88.8811,"May 14, 14",0.09264584525189729
2014-05-15,86.0834,86.4379,84.674,85.0538,13658740,13658740,-1.2744,-1.476,85.3966,"May 15, 14",0.07651591476349352
2014-05-16,84.8935,85.2395,84.6656,85.0201,10369477,10369477,-0.033757,-0.04,84.9379,"May 16, 14",0.07608937783830587
2014-05-19,84.75,85.3323,84.75,85.1298,5851383,5851383,0.109713,0.129,85.1201,"May 19, 14",0.07747783779952523
2014-05-20,84.9779,85.307,84.7753,84.961,6140744,6140744,-0.168792,-0.198,85.0081,"May 20, 14",0.07534135610897075
2014-05-21,85.1129,86.2691,85.0032,86.1088,7748049,7748049,1.1478,1.351,85.845,"May 21, 14",0.08986892532945874
2014-05-22,85.9231,86.0581,85.6362,85.6615,5304614,5304614,-0.447296,-0.519,86.1096,"May 22, 14",0.0842075019871306
2014-05-23,85.7037,86.0244,85.4642,85.5096,5411273,5411273,-0.151909,-0.177,85.6588,"May 23, 14",0.0822849216032727
2014-05-27,85.7543,85.9991,85.1804,85.5433,8359739,8359739,0.033757,0.039,85.5155,"May 27, 14",0.08271145852846036
